input_example,emotion
I feel so happy today!,happy
Life is going great, happy
I am really sad and lonely,sad
I feel depressed and tired,depressed
I am angry at my friend,angry
I feel anxious about my exams,anxious
I am calm and relaxed,calm
Nothing much, just a normal day,neutral
I am excited to meet my friends,happy
I don’t feel like talking,sad
Everything feels pointless,depressed
I am frustrated and upset,angry
I am nervous about tomorrow,anxious
I’m at peace right now,calm
Just okay, nothing special,neutral
Feeling cheerful and light,happy
I feel like crying,sad
I want to give up,depressed
Why is everything making me mad?,angry
I can't stop overthinking,anxious
It’s a quiet evening,calm
It’s an average day,neutral

